n,rep,score_bf,score_h,approx_ratio,exact_match
16,80,-0.8709224036447598,-0.8709224036447598,1.0,1
16,81,-0.7580620911360835,-0.7338783790005694,0.9680979798115604,0
16,82,-0.6415085905042278,-0.641403872624816,0.9998367630909986,0
16,83,-0.6508121269684727,-0.5679586730115536,0.8726922094355307,0
16,84,-0.9013912742720621,-0.8782384831972521,0.9743143829592675,0
16,85,-0.7792198613772647,-0.7526889839797613,0.9659520005680934,0
16,86,-0.6390471293348993,-0.6269684272993705,0.9810988869504822,0
16,87,-0.7998644721483266,-0.7998644721483268,1.0,1
16,88,-0.8084172045657527,-0.8084172045657528,1.0,1
16,89,-0.8651828174307638,-0.8651828174307636,0.9999999999999999,1
16,90,-0.6826238095794074,-0.6826238095794073,0.9999999999999999,1
16,91,-0.7996015853227073,-0.7996015853227073,1.0,1
16,92,-0.7226717917442378,-0.7226717917442378,1.0,1
16,93,-0.7919065846046915,-0.7919065846046915,1.0,1
16,94,-0.9065987547216898,-0.9065987547216897,0.9999999999999999,1
16,95,-0.9098920713121313,-0.9098920713121313,1.0,1
16,96,-0.847997744023361,-0.8479977440233608,0.9999999999999998,1
16,97,-0.37347012304381827,-0.37347012304381827,1.0,1
16,98,-0.5189186216264681,-0.5189186216264681,1.0,1
16,99,-0.5037519871705028,-0.5037519871705028,1.0,1
18,0,-0.8304812144004461,-0.8221687584643914,0.9899907959482795,0
18,1,-0.851280606399806,-0.8512806063998057,0.9999999999999998,1
18,2,-0.7402500938121377,-0.7402500938121376,0.9999999999999999,1
18,3,-0.7568335305376616,-0.7493317401406377,0.9900879254230525,0
18,4,-0.6737819525666378,-0.6737819525666378,1.0,1
18,5,-0.8529997868029201,-0.8287677447733713,0.9715919717631214,0
18,6,-0.8712526328189036,-0.8712526328189036,1.0,1
18,7,-0.8378195894349304,-0.8378195894349304,1.0,1
18,8,-0.890042125344666,-0.8900421253446658,0.9999999999999998,1
18,9,-0.6235979673602484,-0.6235979673602485,1.0,1
18,10,-0.9246381954807152,-0.924638195480715,0.9999999999999998,1
18,11,-0.7587742103918496,-0.7587742103918496,1.0,1
18,12,-0.8946901399273987,-0.8922436619387106,0.9972655583430409,0
18,13,-0.6059554190684813,-0.6041154371478239,0.9969635028209073,0
18,14,-0.8329959908945573,-0.8285724070978197,0.9946895497156149,0
18,15,-0.8465378345012653,-0.836193645829016,0.9877805949708751,0
18,16,-0.8057291556529406,-0.8046147851722603,0.998616941595247,0
18,17,-0.8762887115658249,-0.8402433003966101,0.9588658273312618,0
18,18,-0.8481499266332813,-0.8481499266332813,1.0,1
18,19,-0.8767429350271646,-0.8767429350271647,1.0,1
18,20,-0.8068675121374304,-0.8015134581895729,0.9933643951859279,0
18,21,-0.8745808488731335,-0.8745808488731335,1.0,1
18,22,-0.8930529993469593,-0.868252189038738,0.9722291842406254,0
18,23,-0.6518577285111534,-0.6518577285111534,1.0,1
